City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Maniitsoq,GL,65.4167,-52.9,32.23,42,0,8.34,clear sky
80,Saskylakh,RU,71.9167,114.0833,23.07,96,100,1.16,light snow
81,Puerto Ayora,EC,-0.7393,-90.3518,70.0,85,67,7.05,broken clouds
82,Belmonte,BR,-15.8631,-38.8828,75.51,87,95,7.96,overcast clouds
83,Snezhnogorsk,RU,69.1933,33.2531,29.98,67,100,21.92,light snow
84,Changping,CN,40.2186,116.2197,51.96,21,0,7.0,clear sky
85,Khatanga,RU,71.9667,102.5,31.75,95,100,9.82,overcast clouds
86,Arraial Do Cabo,BR,-22.9661,-42.0278,68.83,89,100,14.38,moderate rain
87,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,100,90,11.5,mist
88,Siswa Bazar,IN,27.15,83.7667,74.98,92,100,7.67,overcast clouds
89,Soller,ES,39.7662,2.7152,64.85,90,92,1.63,overcast clouds
90,Winnemucca,US,40.973,-117.7357,38.1,89,97,4.12,overcast clouds
91,Derbent,RU,42.0678,48.2899,62.22,81,100,3.51,overcast clouds
92,Tuatapere,NZ,-46.1333,167.6833,48.78,57,91,15.23,overcast clouds
93,Port Keats,AU,-14.25,129.55,91.83,51,8,11.23,clear sky
94,Samarai,PG,-10.6167,150.6667,84.0,70,78,9.35,broken clouds
95,Wenling,CN,28.3669,121.36,66.9,68,89,11.59,overcast clouds
96,Hermanus,ZA,-34.4187,19.2345,52.9,79,0,11.43,clear sky
97,Hasaki,JP,35.7333,140.8333,61.29,79,100,9.98,overcast clouds
98,Along,IN,28.1667,94.7667,73.38,98,100,0.63,overcast clouds
99,Uberlandia,BR,-18.9186,-48.2772,70.52,82,100,3.4,overcast clouds
100,Novomichurinsk,RU,54.0384,39.7479,30.61,93,10,7.96,clear sky
101,Codrington,AU,-38.2667,141.9667,56.12,56,24,13.49,few clouds
102,Lagoa,PT,39.05,-27.9833,67.6,73,1,19.77,clear sky
103,Zhangjiakou,CN,40.81,114.8794,40.33,25,0,1.14,clear sky
104,Port Alfred,ZA,-33.5906,26.891,54.7,75,1,8.77,clear sky
105,Nanortalik,GL,60.1432,-45.2371,34.95,58,100,4.83,overcast clouds
106,Upernavik,GL,72.7868,-56.1549,29.5,47,98,7.38,overcast clouds
107,Mezen,RU,65.8522,44.24,36.64,96,100,6.08,overcast clouds
108,Curuca,BR,-0.7289,-47.8481,75.85,87,29,3.4,scattered clouds
109,Ler,SS,8.3018,30.1418,72.68,85,11,3.83,few clouds
110,Asekeyevo,RU,53.5742,52.7972,47.39,86,100,5.86,overcast clouds
111,Klaksvik,FO,62.2266,-6.589,52.72,95,100,17.85,overcast clouds
112,Srednekolymsk,RU,67.45,153.6833,7.93,88,77,6.69,broken clouds
113,Qaanaaq,GL,77.484,-69.3632,30.4,55,100,14.43,overcast clouds
114,Naron,ES,43.5167,-8.1528,65.25,86,6,6.49,clear sky
115,Provideniya,RU,64.3833,-173.3,30.31,86,90,20.13,heavy snow
116,Arman,RU,59.7,150.1667,18.41,35,0,10.4,clear sky
117,Sao Filipe,CV,14.8961,-24.4956,79.72,72,0,2.84,clear sky
118,Airai,TL,-8.9266,125.4092,81.05,37,91,2.33,overcast clouds
119,Ponta Do Sol,PT,32.6667,-17.1,75.0,21,94,0.43,overcast clouds
120,East London,ZA,-33.0153,27.9116,55.18,73,18,5.48,few clouds
121,Longyearbyen,SJ,78.2186,15.6401,10.27,81,60,4.03,broken clouds
122,Broome,US,42.2506,-75.833,46.62,78,90,1.99,overcast clouds
123,Mataram,ID,-8.5833,116.1167,88.61,64,98,6.4,overcast clouds
124,Kodiak,US,57.79,-152.4072,44.28,92,100,28.36,light rain
125,Ponta Delgada,PT,37.7333,-25.6667,70.52,73,20,16.11,few clouds
126,Rantepao,ID,-2.9701,119.8978,82.76,62,83,4.14,broken clouds
127,Saint Anthony,US,45.0205,-93.218,65.93,47,1,1.01,clear sky
128,Roald,NO,62.5833,6.1333,44.17,87,100,14.97,light rain
129,Albany,US,42.6001,-73.9662,45.81,84,45,1.01,scattered clouds
130,Caravelas,BR,-17.7125,-39.2481,74.84,89,24,7.52,few clouds
131,Pisco,PE,-13.7,-76.2167,61.02,90,55,0.81,broken clouds
132,Whitefish,US,48.4111,-114.3376,55.15,60,1,14.97,clear sky
133,Tucumcari,US,35.1717,-103.725,65.95,45,1,9.22,clear sky
134,Coquimbo,CL,-29.9533,-71.3436,55.13,87,90,4.61,overcast clouds
135,Boende,CD,-0.2167,20.8667,69.91,99,100,0.72,overcast clouds
136,Pacific Grove,US,36.6177,-121.9166,56.25,81,2,1.01,clear sky
137,Port Elizabeth,ZA,-33.918,25.5701,48.49,81,0,4.61,clear sky
138,Sola,VU,-13.8833,167.55,78.62,78,99,23.42,overcast clouds
139,Pimenta Bueno,BR,-11.6725,-61.1936,70.92,97,81,2.68,broken clouds
140,Kidal,ML,18.4411,1.4078,80.91,39,16,2.64,few clouds
141,Barrow,US,71.2906,-156.7887,3.22,92,20,6.91,few clouds
142,Gushikawa,JP,26.3544,127.8686,76.59,78,75,14.97,broken clouds
143,Talnakh,RU,69.4865,88.3972,32.97,97,100,12.35,light snow
144,Anadyr,RU,64.75,177.4833,34.3,93,40,32.99,scattered clouds
145,Mumbwa,ZM,-14.9783,27.0619,70.29,67,93,11.79,overcast clouds
146,Lebu,CL,-37.6167,-73.65,51.39,91,5,15.1,clear sky
147,Salalah,OM,17.0151,54.0924,76.19,75,77,2.59,broken clouds
148,New Norfolk,AU,-42.7826,147.0587,56.66,44,98,3.0,overcast clouds
149,Kabompo,ZM,-13.5927,24.2008,67.01,82,99,5.03,light rain
150,Hofn,IS,64.2539,-15.2082,40.75,91,100,25.77,light rain
151,Ribeira Grande,PT,38.5167,-28.7,68.58,73,15,17.43,few clouds
152,Mareeba,AU,-17.0,145.4333,95.43,34,2,10.33,clear sky
153,Roma,US,43.2128,-75.4557,46.44,94,92,4.0,overcast clouds
154,Ahipara,NZ,-35.1667,173.1667,65.14,61,5,6.38,clear sky
155,Ojinaga,MX,29.5667,-104.4167,79.75,29,1,4.61,clear sky
156,Willowmore,ZA,-33.2926,23.4895,42.71,87,0,6.2,clear sky
157,Gambela,ET,8.25,34.5833,69.85,70,93,3.98,overcast clouds
158,Mayahi,NE,13.9553,7.6712,81.41,56,12,12.37,few clouds
159,Vestmannaeyjar,IS,63.4427,-20.2734,47.64,73,100,13.02,light rain
160,Singaparna,ID,-7.3515,108.111,83.64,67,100,3.83,overcast clouds
161,Azangaro,PE,-14.9167,-70.2167,48.92,59,72,4.92,broken clouds
